SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
860	IDPB	1493	2010-03-25 13:50:26	VAD	VADMCL
861	Afdeling interne zaken	1494	2010-03-25 14:53:35	VAD	VADMCL
862	wg lokaal beleid	330	2010-03-30 15:31:00	CAT	CATANS
863	sector onderwijs	765	2010-03-31 14:40:15	LEU	LEUGMA
864	Alle IG PW's Vlaams-Brabant	753	2010-03-31 15:22:39	LEU	LEUGMA
865	VRT Journaal	1303	2010-04-01 13:01:18	VAD	VADMCL
866	Radio 1	1303	2010-04-01 13:01:26	VAD	VADMCL
867	VIRALCO-project	1461	2010-04-01 17:55:24	VAD	VADMCL
868	IDPB	1533	2010-04-02 16:29:58	VAD	VADMCL
869	Jeugdhuis Ticket	580	2010-04-07 15:57:48	DEL	DELTDB
870	DOPO	680	2010-04-12 14:09:15	LAR	LAREVB
871	vormingsteam	1536	2010-04-14 14:39:25	ALT	ALTJDS
872	personeelsdienst	480	2010-04-14 15:27:03	ALT	ALTJDS
873	OKAN WERKGROEP DOS 	110	2010-04-16 15:01:17	CAD	CADMVS
874	RAAD	1540	2010-04-16 15:06:33	CAD	CADMVS
875	Human Resources	1541	2010-04-22 19:22:14	VAD	VADMCL
876	ONDER ONS 	89	2010-04-23 14:48:34	CAD	CADMVS
877	De lagune	1542	2010-04-29 11:13:33	ALT	ALTMLE
878	sociale werkplaats ploegsebaan 51 2930 Brasschaat	1545	2010-04-29 17:16:52	ALT	ALTMLE
879	beschutte werkplaats gemeentepark 6 2930 Brasschaa	1545	2010-04-29 17:17:34	ALT	ALTMLE
880	Service Assistance	1546	2010-04-30 10:48:47	VAD	VADMCL
881	Safety	1547	2010-04-30 15:00:40	VAD	VADMCL
882	STUURGROEP VERSLAVINGSPREVENTIE	215	2010-05-11 13:09:22	CAD	CADKKE
883	PROVINCIALE JEUGDDIENST	96	2010-05-12 15:00:59	CAD	CADDFR
884	PROVINCIALE SPORTDIENST	96	2010-05-12 15:01:19	CAD	CADDFR
885	Medische dienst	1569	2010-05-20 13:41:28	VAD	VADMCL
886	gezondheid en veiligheid	800	2010-05-27 12:50:43	VAD	VADKIM
887	JoJo's	480	2010-05-27 17:16:06	ALT	ALTCCA
888	WERKGROEP LOKAAL BELEID	46	2010-05-31 11:02:56	CAD	CADKKE
889	LSM	91	2010-06-02 13:04:43	CAD	CADKBO
890	Preventiedienst Lier	1599	2010-06-07 16:25:41	GEE	GEETCO
891	Jongerenbeurs Olen	1600	2010-06-07 16:28:12	GEE	GEETCO
892	Jongerenbeurs Turnhout	1600	2010-06-07 16:28:43	GEE	GEETCO
